program_id,prog_title,prog_desc,promotional_material_txt,StageID,Big R Stage - Busch Campus,Big R Stage - College Avenue Campus,Big R Stage - Cook/Douglass Campus,Scarlet Stage - College Ave Campus
396,Rutgers Taekwondo Demonstration (11 a.m.),"(11 a.m.) A demonstration of Taekwondo through forms, board breaking and other Taekwondo techniques ",Rutgers Taekwondo Club,Busch1,yes,no,no,no
502,Pop/Country Galore! (11:15 a.m.),(11:15 a.m.) Sheena Parimoo will be perform songs in the pop and country genre from artists such as Taylor Swift and Shania Twain,Sheena Parimoo,Busch1,yes,no,no,no
380,"HARU, Rutgers K-pop Cover Dance Club (11:45 a.m.)",(11:45 a.m.) HARU performs choreography from popular songs in Korea & seek to pass on the fun style of Korean pop music to the community around Rutgers.,"HARU, Kpop Dance Cover Club",Busch1,yes,no,no,no
496,Crime Alert (12:10 p.m.),(12:10 p.m.) Pop-rock band performance,Crimer Alert,Busch1,yes,no,no,no
259,Musician Guild Artist Showcase (12:55 p.m.),"(12:55 p.m.) The Rutgers University Musicians Guild will present it's very talented student performers to create a artistic, supportive environment and encourage other student artists to share their work.",Rutgers Musicians Guild,Busch1,yes,no,no,no
220,Rutgers Chinese Dance Troupe (2:05 p.m.),"(2:05 p.m.) Performance that combine elements of traditional dance and occasionally modern dance to create a truly unique experience in the world of dance. We use various props such as ribbons, fans, swords, but most importantly, our bodies to express ourselves in this respect.",Rutgers Chinese Dance Troupe,Busch1,yes,no,no,no
503,Kennedy Hart (2:15 p.m.),(2:15 p.m.) Musical performance,Kennedy Hart,Busch1,yes,no,no,no
500,The Extreme Magic Of Eric Wilzig (2:45),"(2:45 p.m.) With performances on NBC's hit TV show ""America's Got Talent,"" and headline acts in Times Square, Coney Island, Europe, Israel, and the Caribbean, Eric is considered one of the hottest rising stars in the magic industry. Combining large custom-made stage illusions, edge-of-your-seat escapes, and mind-blowing stunts, this is not your typical magic show!",Eric Wilzig,Busch1,yes,no,no,no
480,Disney Piano,(10 a.m.) Songs from famous Disney Movies performed on the piano.,Timothy Lee,CAC1,no,yes,no,no
67,Alpha Kappa Delta Phi Stroll,(10:35 a.m.) Dance performance,Alpha Kappa Delta Phi,CAC1,no,yes,no,no
182,Verse One Dance Troupe (10:45 a.m.),"(10:45 a.m.) Verse|One is the first non-auditioning, equal opportunity dance troupe founded by the Vietnamese Students Association at Rutgers University.",Verse One Dance Truope,CAC1,no,yes,no,no
303,Liberated Gospel Choir (11 a.m.),"(11 a.m.) The Liberated Gospel Choir, better known as LGC has been at the University for 71 years. Their concert is April 26th at 6pm in the LSC.",Rutgers Liberated Gospel Choir,CAC1,no,yes,no,no
