Latitude,Longitude,ID,Title,Description,Group,Timed ,Campus,Zone,Location,Get to Know Rutgers,Experience the Arts & Humanities,Science & Technology,All Things Green,Health and Wellness,Business and Careers,Sports and Recreation,Kids Stuff,Alumni
40.522023,-74.462302,4,Future in Computer Science,"See the coolest in computing: robotics, drones, AI, mobile computing, smart devices, and more!",Department of Computer Science,no,Busch,Engineering Area,"Hill Center, room 248",Yes,no,Yes,no,no,no,no,no,no
40.522743,-74.462149,5,Pharmacy Mini Health Fair,"Get a mini health check, and learn how pharmacists play an active role in your well-being.",Ernest Mario School of Pharmacy,no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.523176,-74.462435,6,New Jersey Medical School,"""Doctor for a Day"" photo booth for kids and learn about New Jersey Medical School.","Office of the Dean, New Jersey Medical School",no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.524019,-74.464125,9,"Rutgers Utilities: What We Do, How We Save",See a demonstration of solar and geothermal energy conservation and sustainability.,Facilities and Capital Planning,no,Busch,Life Sciences Area,Allison Road Bus Stop,Yes,no,Yes,no,no,no,no,no,no
40.522765,-74.461527,12,Fun with Packaging Engineering,"Games, rockets, and creative projects for kids and adults--all from packaging!",Packaging Engineering Program,no,Busch,Engineering Area,,Yes,no,Yes,no,no,Yes,no,Yes,no
40.52362,-74.464337,16,Skeleton Detectives,Take on the role of a forensic anthropologist and take charge of identifying bones discovered at a crime scene.,Rutgers Science Explorer,no,Busch,Life Sciences Area,Allison Road Bus Stop,Yes,no,Yes,no,no,no,no,Yes,no
40.523696,-74.464386,17,Rutgers Science Explorer,Come aboard the Rutgers Science Explorer bus for interactive exhibits and laboratory exercises in the sciences.,Rutgers Science Explorer,no,Busch,Life Sciences Area,Allison Road Bus Stop,Yes,no,Yes,no,no,no,no,Yes,no
40.5232,-74.462418,21,It's Not Exactly Brain Surgery,Play our brain surgery game and learn what your brain looks like.,"The Neurological Institute of New Jersey, Departments of Neurosurgery, Neurology, and Otolaryngology-Head and Neck Surgery, New Jersey Medical School",no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.522072,-74.462418,24,Green Screen Getaway,"Pose for a customized picture against a green screen, and bring home a keepsake print.",Office of Information Technology - New Brunswick Computing Services,no,Busch,Engineering Area,"Hill Center, room 116",Yes,no,Yes,no,no,no,no,Yes,no
40.522708,-74.461624,27,Sand Bracelets and Water Wonders,Create interactive sand bracelets and learn about water conservation throughout the world.,Engineers Without Borders-USA,no,Busch,Engineering Area,,Yes,no,no,Yes,no,no,no,Yes,no
40.523034,-74.461949,38,K-12 Students: Connect to Rutgers!,Preview two Rutgers resources for the pre-college crowd: the Rutgers Pre-College Program Directory and the MyRutgersFuture portal.,Office of Enrollment Management - Research and Enrollment Information Services,no,Busch,Life Sciences Area,,Yes,Yes,Yes,no,no,no,no,Yes,no
40.523131,-74.462319,42,Rutgers Business School Carnival,Enjoy cotton candy while playing carnival games like Wheel of Business.,Rutgers Business School Office of Undergraduate Programs,no,Busch,Life Sciences Area,,Yes,no,no,no,no,Yes,no,Yes,no
40.522949,-74.462605,46,RU Healthy?,Get wellness screenings and valuable health information.,Rutgers School of Nursing,no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.523221,-74.462401,48,DNA Sequencing: Impact on Disease,See a live demonstration of DNA sequencing and learn how the technology is changing our approach to human disease.,"Molecular Resource Facility, New Jersey Medical School",no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,no,no
