ID,Title,Description,Group,Campus,Zone,Location,Lat,Long,Get to know Rutgers,Experience the arts and humanities,Science and technology,All Things Green,Business and careers,Sports and recreation,Kid stuff,Health and wellness,10_00_am,10_30am,11_00_am,11_30_am,12_00_pm,12_30_pm,01_00_pm,01_30_pm,02_00_pm,02_30_pm,03_00_pm,03_30_pm
timed_1,The Extreme Magic Of Eric Wilzig,"As host Nick Cannon stated during Eric's recent appearance on NBC's hit TV show America's Got Talent, ""Wow, Eric, that was amazing! How did you do that?"" Combining big stage illusions, daring stunts, heart-racing escapes, special effects, cool music and more, ""The Extreme Magic of Eric"" guarantees a show that  Rutgers Day attendees will never forget!  www.ExtremeMagicOfEric.com","As also being an RBS junior, Helen Pensavalle the Special Programs Coordinator of the Business School, has asked me once again this year to perform on the Big-R Stage.",Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,,,,,,,Yes,Yes,,
timed_31,Go Man Go,"A six-piece band that blends rock, blues, funk, reggae, hip-hop and jam to a create a unique and listen friendly musical experience.",Go Man Go,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,
timed_7,Kowop,Jazz Fusion/Rock/Pop band named Kowop (pronounced like co-op),Kowop,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,,,,Yes,Yes,,,,,
timed_15,Modern Chemistry,An alternative rock band made up of all Rutgers students.,Modern Chemistry,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,,
timed_4,Robbie Live,"I'd like to perform 3-5 of the most popular songs on top 40 radio. I'd like to take the last 5 minutes to tell the audience a little about me, my webshow RobbieTv, and where they can find me on the web. I'd like to que up my latest single ""Rescue Mission"" as I say bye to the audience and exit.",RobbieTv webshow,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,
timed_8,Twice is Good,Finance Professor Ben Sopranzetti and Rutgers Alum band members perform again for Rutgers Day.  Don't miss this amazing performance!,Rutgers Business School - New Brunswick,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,,,Yes,Yes,,,,,,
timed_27,Rutgers Juggling Club Juggling Show and Fire Show,A brief showcase of our best jugglers performing with our favorite equipment and fire.,Rutgers Juggling Club,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,
timed_23,RUMDO,We are a dance group that performs dances that demonstrate the university's diversity.  Our routines are on a college level but we have performed for families and friends of the university as well.,Rutgers University Multicultural Dance Organization (RUMDO),Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,Yes,Yes,,,,,,,,
timed_3,Livingston Theatre Company,"The Livingston Theatre Company provieds quality musical theater to Rutgers students, as well as the communities of Central New Jersey. We will be showcasing some our favorite numbers from this year - our 15th season!",The Livingston Theatre Company,Busch,Life Sciences Area,Big R Stage - Busch,40.523676,-74.462683,No,No,No,No,No,No,No,No,,,,,,,,Yes,Yes,,,
timed_21,First Light Christian A Cappella,"We serve, witness and entertain through a cappella Christian music.",First Light,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,,Yes,Yes,,,,,
timed_29,"Jeff Petescia, Guitarist/Singer-Songwriter",Rutgers Sophomore who is a self-taught upside-down guitarist (holds a right-handed guitar as a lefty would) and songwriter,independent...could I possibly advertise my music facebook? facebook.com/jeffpetesciamusic,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,
timed_13,Mason Gross School of the Arts Extension Division Creative Dance,Creative Dance performance featuring students of the Mason Gross School of the Arts Extension Division,Mason Gross School of the Arts Extension Division,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,,,,,Yes,Yes,,
timed_12,Mason Gross School of the Arts Extension Division Suzuki Violin Program,Ensemble Violin Performance featuring the Mason Gross School of the Arts Extension Division Suzuki Program,Mason Gross School of the Arts Extension Division,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,,,,,,Yes,Yes,
timed_11,American Ballet Theatre's Jacqueline Kennedy Onassis School Children's Division,"The Mason Gross School of the Arts Extension Division presents a dance performance featuring students, ages 4 - 12, of American Ballet Theatre's Jacqueline Kennedy Onassis School Children's Division",Mason Gross School of the Arts Extension Division,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,,,,,,,Yes,Yes
timed_22,Alpha Kappa Delta Phi,the largest and only international asian interest sorority,ofsa,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,Yes,Yes,,,,,,
timed_6,Queens Chorale,The oldest all female student run choir on campus singing traditional Rutgers songs,Queens Chorale,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,,,,,,
timed_24,Trav Da Gillateen,"Travis Meade (Gillateen) will like to perform a 4 song rap/hip-hop set, possibly including one guest performer. The set will include the Rutgers Anthem he composed for a current project with Rutgers along with a few other songs from his repertoire.",Retro Vista Studios,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,,
timed_16,Rock Out: Rutgers Future Scholars,"Come meet the Rutgers Future Scholars! These promising young students from Rutgers' home communities of Camden, Newark, New Brunswick and Piscataway share their talents through song, dance and spoken word.",Rutgers Future Scholars,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,,,,Yes,Yes,,,
timed_25,ShockWave,"Rutgers All-Female Acapella Group, ShockWave, performs a set of music that consists of beautiful, all-female voices, without instrument accompaniment. ShockWave strives to break barriers and empower women through voice and song.",ShockWave,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,Yes,Yes,,,,,,,,
